============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000196   5.2551E+02 -3.2477E+02 -6.0055E+01
0000197   5.2838E+02  3.8391E+02  1.7445E+02
0000198   6.2463E+02 -2.3430E+01 -4.2495E+02
0000199   8.0381E+02  9.8813E+01  3.9490E+02
0000200   5.0590E+02 -2.2013E+02 -2.5590E+02
0000201   8.9883E+02 -2.7841E+02  2.0093E+02
0000202   3.9473E+02 -1.1217E+01 -1.5393E+02
0000203   7.7450E+02  8.2248E+01  1.2021E+02
0000204   8.2508E+02 -1.0842E+02 -2.0243E+02
0000205   3.9669E+02 -7.5768E+01 -3.5758E+02
0000206   9.3038E+02 -1.2185E+02  8.7244E+01
0000207   1.0267E+03 -1.3971E+02 -1.2813E+02
0000208   3.8367E+02  1.6628E+02  2.4180E+00
0000209   7.6002E+02 -1.1072E+01  4.1188E+01
0000210   1.1675E+03 -1.8002E+02  3.9474E+02
0000211   6.2240E+02  1.3972E+02  1.4929E+02
0000212   5.5783E+02 -9.3122E+01 -4.3205E+01
0000213   5.8068E+02 -2.8002E+02 -1.9018E+02
0000214   8.1956E+02 -1.1752E+02 -2.2334E+02
0000215   3.0990E+02  3.4427E+02 -1.8364E+02
0000216   3.0672E+02  1.3640E+02 -7.7149E-01
0000217   3.8638E+02  7.9942E+01 -3.9930E+02
0000218   1.0105E+03  2.1481E+02 -2.0498E+02
0000219   2.2475E+02  2.7570E+01 -3.9060E+00
0000220   2.6582E+02 -3.5131E+02  1.3781E+01
0000221   6.6348E+02  9.7109E+01  5.1082E+00
0000222   3.0329E+02 -3.1882E+02  1.2538E+02
0000223   6.0561E+02 -3.7615E+02 -2.2026E+02
0000224   7.4991E+02 -3.5044E+01 -1.5395E+02
0000225   3.8751E+02 -1.1973E+02  5.1140E+01
0000226   4.4462E+02 -3.9346E+02 -3.9935E+02
0000227   2.5856E+02  1.9755E+02  2.4575E+01
0000228   6.9145E+02 -2.2719E+02 -1.3201E+02
0000229   2.6725E+02 -1.4904E+02  1.4722E+02
0000230   1.0116E+02  1.7775E+02 -2.6798E+01
0000231   5.0720E+02 -3.6196E+01 -2.5708E+02
0000232   4.5884E+02 -3.4169E+02 -4.4276E+01
0000233   5.5857E+02 -1.8497E+00  1.9387E+02
0000234   8.2182E+02 -2.4139E+02 -4.1630E+02
0000235   5.2562E+02  2.6704E+02 -7.6060E+01
0000236   2.5761E+02 -6.6166E+01  8.2156E+01
0000237   6.8819E+02  4.3342E+00  5.3186E+01
0000238   6.1236E+02 -2.8699E+02  3.1793E+02
0000239   4.5483E+02 -7.1751E+01 -1.9801E+02
0000240   5.4839E+02 -5.5448E+01 -4.0236E+01
0000241   9.1017E+02 -9.3465E+01  1.0701E+02
0000242   7.1047E+02  1.8548E+02 -3.3684E+01
0000243   3.2193E+02 -1.6883E+01  1.3855E+01
0000244   3.9189E+02  1.0450E+02  1.4603E+02
0000245   5.6086E+02 -2.9938E+02  1.3265E+02
0000246   8.9468E+02  6.5329E+02  2.0331E+02
0000247   2.3906E+02 -1.5324E+02 -4.5276E+01
0000248   6.4016E+02 -5.6591E+01  4.4054E+02
